Date List Produced,Record Obsolescence Date,Source,COMPANY NAME,ADDRESS,CITY,STATE,ZIP CODE,MAILING CARRIER ROUTE,MAILING DELIVERY POINT BAR CODE,LOCATION ADDRESS,LOCATION ADDRESS CITY,LOCATION ADDRESS STATE,LOCATION ADDRESS ZIP,LOCATION ADDRESS DELIVERY POINT BAR CODE,LOCATION ADDRESS CARRIER ROUTE,COUNTY,PRIMARY SIC,PRIMARY SIC DESCRIPTION,SECONDARY SIC #1,SECONDARY SIC DESCRIPTION #1,SECONDARY SIC #2,SECONDARY SIC DESCRIPTION #2,METRO AREA,DATA AXLE USA ID,LAST NAME,FIRST NAME,CONTACT TITLE,CONTACT PROF TITLE,CONTACT GENDER
Sep 14 2021,Mar 14 2022,Data Axle,Solange A Abreu DMD,350 N Clark St,Chicago,IL,60654-4712,C008,997,350 N Clark St,Chicago,IL,60654-4712,997,C008,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",729061395,Abreu,Solange A,,DMD,Female
Sep 14 2021,Mar 14 2022,Data Axle,Edward W Abromaitis DDS,801 State St,Lemont,IL,60439-3932,C002,10,801 State St,Lemont,IL,60439-3932,10,C002,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",573028016,Abromaitis,Edward W,,DDS,Male
Sep 14 2021,Mar 14 2022,Data Axle,Absolute Dental,18014 Wolf Rd,Orland Park,IL,60467-5407,R019,146,18014 Wolf Rd,Orland Park,IL,60467-5407,146,R019,Cook,802101,Dentists,802101,Dentists,802104,Cosmetic Dentistry,"Chicago-Npvl, IL",664040607,Shafi,Reem,OWNER,,Female
Sep 14 2021,Mar 14 2022,Data Axle,Absolute Dentistry,4911 W Diversey Ave,Chicago,IL,60639-1705,C022,111,4911 W Diversey Ave,Chicago,IL,60639-1705,111,C022,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",220203111,Aich-Ranjbari,Isza,PRESIDENT,,
Sep 14 2021,Mar 14 2022,Data Axle,Absolute Dentistry LTD,16003 Executive Dr,Crest Hill,IL,60403-0500,R021,39,16003 Executive Dr,Crest Hill,IL,60403-0500,39,R021,Will,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",404180146,Aich,Isza,OWNER,,Male
Sep 14 2021,Mar 14 2022,Data Axle,Abt Dental Assoc,4709 Golf Rd # 1005,Skokie,IL,60076-1260,C071,552,4709 Golf Rd # 1005,Skokie,IL,60076-1260,552,C071,Cook,802101,Dentists,802101,Dentists,804914,Dental Hygienists,"Chicago-Npvl, IL",615082732,Abt,Elliot,OTHER,,Male
Sep 14 2021,Mar 14 2022,Data Axle,Najeeb M Abufarha DMD,7409 Woodridge Dr # B,Woodridge,IL,60517-2249,C086,743,7409 Woodridge Dr # B,Woodridge,IL,60517-2249,743,C086,Du Page,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",745698493,Abufarha,Najeeb M,,DMD,Male
Sep 14 2021,Mar 14 2022,Data Axle,Aburano Michael A DDS,400 Lake Cook Rd #200a,Deerfield,IL,60015-5212,C039,1,400 Lake Cook Rd #200a,Deerfield,IL,60015-5212,1,C039,Lake,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",964622880,Aburano,Michael A,,DDS,Male
Sep 14 2021,Mar 14 2022,Data Axle,Mahmoud W Abusaoud DMD,6930 S Pulaski Rd,Chicago,IL,60629-4223,C014,303,6930 S Pulaski Rd,Chicago,IL,60629-4223,303,C014,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",744406441,Abusaoud,Mahmoud W,,DMD,Male
Sep 14 2021,Mar 14 2022,Data Axle,Acacia Family Dentistry,3060 Ogden Ave # 210,Lisle,IL,60532-1685,C017,99,3060 Ogden Ave # 210,Lisle,IL,60532-1685,99,C017,Du Page,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",969853969,,,,,
Sep 14 2021,Mar 14 2022,Data Axle,Access Dental Ctr,276 W Fullerton Ave,Addison,IL,60101-3767,C006,766,276 W Fullerton Ave,Addison,IL,60101-3767,766,C006,Du Page,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",900173600,Shaikh,Imaad,PRESIDENT,,
Sep 14 2021,Mar 14 2022,Data Axle,Accudent Dental Laboratories,1930 177th St,Lansing,IL,60438-1565,C007,309,1930 177th St,Lansing,IL,60438-1565,309,C007,Cook,807201,Laboratories-Dental,807201,Laboratories-Dental,384104,Physicians & Surgeons Equip & Supls-Mfrs,"Chicago-Npvl, IL",3620267,Czerwinski,Bob,OWNER,,Male
Sep 14 2021,Mar 14 2022,Data Axle,Accurate Dentistry,9194 W 159th St,Orland Park,IL,60462-5648,C036,946,9194 W 159th St,Orland Park,IL,60462-5648,946,C036,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",208329672,Girkant,Danielle,MANAGER,,Female
Sep 14 2021,Mar 14 2022,Data Axle,Accurate Denture & Repair Lab,13549 Cicero Ave,Crestwood,IL,60418-1934,C019,491,13549 Cicero Ave,Crestwood,IL,60418-1934,491,C019,Cook,802101,Dentists,802101,Dentists,802104,Cosmetic Dentistry,"Chicago-Npvl, IL",497743054,Bargamian,Kevin,PRESIDENT,,Male
Sep 14 2021,Mar 14 2022,Data Axle,Accurate Endodontics,1216 American Way # 104,Libertyville,IL,60048-3940,C030,295,1216 American Way # 104,Libertyville,IL,60048-3940,295,C030,Lake,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",374843167,Summercorn,Linda,OFFICE MANAGER,,Female
Sep 14 2021,Mar 14 2022,Data Axle,Accurtek Dental Ceramic Inc,830 E Rand Rd # 5,Mt Prospect,IL,60056-2560,C104,55,830 E Rand Rd # 5,Mt Prospect,IL,60056-2560,55,C104,Cook,807201,Laboratories-Dental,807201,Laboratories-Dental,,,"Chicago-Npvl, IL",969775790,,,,,
Sep 14 2021,Mar 14 2022,Data Axle,Acdi Orland Park For Dental,15110 Windsor Dr,Orland Park,IL,60462-3813,C028,106,15110 Windsor Dr,Orland Park,IL,60462-3813,106,C028,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",744427362,,,,,
Sep 14 2021,Mar 14 2022,Data Axle,Ace Dental Ctr,121 E Roosevelt Rd # 3,Lombard,IL,60148-4561,C042,32,1000 Grand Canyon Pkwy # 307,Hoffman Estates,IL,60169-1732,825,C055,Cook,802101,Dentists,802101,Dentists,,,"Chicago-Npvl, IL",969832955,Sharees,Syed,OFFICE MANAGER,,Male
