Customer,Main Phone,Fax,Ship to 1,Ship to 2,Ship to 3
"Gui, Jianxun Dr.",773-778-9688,,"Gui, Jianxun Dr.",5139 South Kedzie,"Chicago, IL 60632"
"Hannan, Dr. David",847-724-2345,,Dr. David Hannan,324 Waukegan Road,"Glenview, IL 60025"
"Holzer, Dr. - Karkazis Office",847-491-0660,,Dr. Frank Karkazis,"1029 Howard Street, Suite 201","Evanston, IL 60202"
Int'l Dental (Joliet),(815) 730-1570,,International Dental Center,"18 S. Larkin Ave, Unit #6","Joliet, IL 60436"
Int'l Dental (MKE Ave),773-227-1245,,International Dental Center,"2122 North Milwaukee Ave., Suite 1","Chicago, IL 60647"
Int'l Dental (Narragansett),773-745-6410,,International Dental Center,3138 N Narragansett Ave,"Chicago, IL 60634"
Int'l Dental (Oak Lawn),708-634-3315,,International Dental,9539 S. Cicero Avenue,"Oak Lawn, IL 60453"
Int'l Dental (Rockford),815-227-1050,,International Dental Center,3502 E State St,"Rockford, IL 61108"
"Israa, Dr. Najar- Orland Square",708-301-1100,,Universal - Orland Square,10 Orland Square Drive,"Orland Park, IL 60462"
"Israa, Dr. Najjar - SOUTH HOLLAND",708-566-5188,,Universal - South Holland,304 East 162nd Street,"South Holland, IL 60473"
"Jain, Dr. Parul",847-895-8444,847-895-8543,"Jain, Dr. Parul",636 South Roselle Road,"Schaumburg, IL 60193"
Jefferson Park Dental Studio,773-777-4800,,Jefferson Park Dental Studio,4452 North Central Ave,"Chicago, IL 60630"
"Jouja, Dr. Delone - Armitage",773-235-9020,,Brite Dental - Armitage,4343 West Armitage,"Chicago, IL 60639"
"Jouja, Dr. Delone - CLARK ST",773-338-8470,773-998-8471,Brite Dental - Clark St,6720 North Clark Street,"Chicago, IL 60626"
"Jung, Dr. - Burbank",708-424-5901,,Universal - Burbank,5501 West 79th Street,"Burbank, IL 60459"
"Jung, Dr. Pamela - PULASKI",773-293-6118,,Universal Dental Clinics,4445 North Pulaski,"Chicago, IL 60641"
"Jung, Dr. Pamela - STONE PARK",708-338-4444,,Universal - Stone Park,1550 North Mannheim Road,"Stone Park, IL 60165"
"Karkazis, Dr. Frank",847-491-0660,,Dr. Frank Karkazis,"1029 Howard Street, Suite 201","Evanston, IL 60202"
"Kim, Dr. Daniel",847-726-8999,847-726-7999,Dr. Daniel Kim,519 Ela Road,"Lake Zurich, IL 60047"
"Kinoshita, Dr. Larry",847-329-9930,,"Kinoshita, Dr. Larry","4905 Old Orchard Center, Suite 420","Skokie, IL 60077"
"KOKO, DR - ORLAND SQUARE",708-301-1100,,Universal - Orland Square,10 Orland Square Drive,"Orland Park, IL 60462"
"Kotsiopoulos, Dr. Peter",847-776-1202,,Dr. Peter Kotsiopoulos,"135 West Johnson Street, Suite 6","Palatine, IL 60067"
Kudos Dental (Fahad),708-453-6677,,Kudos Dental,7710 W. North Avenue,"Elmwood Park, IL 60707"
"Kugia, Dr. Nicholas",847-468-0700,,Dr. Nicholas Kugia,"1425 McLean Blvd, Suite 800","Elgin, IL 60123"
Lake Street Dental,630-894-8008,630-894-0908,Lake Street Dental,478 West Lake Street,"Roselle, IL 60172"
"Lane, Dr. Gregory",630-830-8330,,Dr. Gregory Lane,940 West Army Trail Road,"Carol Stream, IL 60188"
"Langefeld, Dr. Jeff",224-643-4381,,Dr. Jeff Langefeld,3065 Falling Waters Blvd,"Lindenhurst, IL 60046"
"LANS, DR MARS",847-849-3315,,Dr. Mars Lans,525 North Vine Streeet,"Arthur, IL 61911"
Lifetime Dental Spa,224-419-7095,,Lifetime Dental Spa,1421 N. Lewis Avenue,"Waukegan, IL 60085"
"Livacari, Dr. Gary",(847)675-0521,,"Livcari, Dr. Gary",4346 Oakton St,"Skokie, IL 60076"
London Grove Professional Services,773-721-7799,,London Grove Professional Services,9761 South Cottage Grove Ave.,"Chicago, IL 60628"
Loop Dental Care,,,Loop Dental Care,30 North Michigan Ave. Ste 822,"Chicago, IL 60602"
Lupescu. Dr. Gabriela,773-588-5838,,Dr. Gabriela Lupescu,3356 West Foster Ave.,"Chicago, IL 60625-4830"
"Luzzo, Dr. Ronald",847-352-2110,,"Luzzo, Dr. Ronald",537 Brown Circle,"Elk Grove Village, IL 60007"
"M. Reza Ekhtera, DDS",773-252-0033,,Northwestern Dental Clinic,2604 W. North Avenue,"Chicago, IL 60647"
"Makwana Dental Associates, LTD.",773-994-8095,,"Makwana Dental Associates, LTD.",8234 South Ashland Avenue,"Chicago, IL 60620"
"Markett, Dr. Jeff",630-620-5552,,"Markett, Dr. Jeff",426 West 22nd Street,"Lombard, IL 60148"
MIRZA - ARMITAGE,773-235-9020,,Brite Dental - Armitage,4343 West Armitage,"Chicago, IL 60639"
MIRZA - CLARK ST,773-338-8470,773-998-8471,Brite Dental - Clark St,6720 North Clark Street,"Chicago, IL 60626"
"Mirza, Dr. Anne",847-244-7779,,Douglas Dental Center,2605 Grand Avenue,"Waukegan, IL 60085"
Miswak Dental Lab,312-834-8362,,MISWAK DENTAL LAB,"1S132 Summit Ave, Suite 202B","Oakbrook Terrace, IL 60181"
Miswak Dentistry,773-661-0330,,Miswak Dentistry,2333 West Chicago Avenue,"Chicago, IL 60622"
"Mitchell, Dr. Joe",847-884-0960,,Dr. Joe Mitchell,2358 Hassell Road Ste. H,"Hoffman Estates, IL 60169"
MR Lab,630-897-9420,,MR Lab,310 Zengele Ave,"Aurora, IL 60505"
Mundelein Dental Center,847-566-7212,,Mundelein Dental Center,"333 East Route 83, Suite 101","Mundelein, IL 60060"
"Musar, Dr. Thomas",847-778-7632,,Dr. Thomas Musar,363 North Main,"Wauconda, IL 60084"
"Nader, Dr. - PULASKI",773-647-1725,,Universal Dental Clinics,4445 North Pulaski,"Chicago, IL 60641"
"Naurose, Dr. - Armitage",773-235-9020,,Brite Dental - Armitage,4343 West Armitage,"Chicago, IL 60639"
"Neiburger, Dr. Ellis",847-244-0292,,Dr. Ellis Neiburger,1000 North Avenue,"Waukegan, IL 60085"
"Neumann, Dr. Raul",847-695-7100,,Dr. Raul Neumann,372 Summit Street,"Elgin, IL 60120"
OGDEN VALLEY DENTAL,630-305-6161,,OGDEN VALLEY DENTAL,"1224 West Ogden Ave, Suite B","Naperville, IL 60563"
"Ogufere, Dr. Osen",847-855-1445,,Smiles of Gurnee,"6695 Grand Avenue, Suite E","Gurnee, IL 60031"
Optima Family Dental - Chicago,773-725-6606,,Optima Family Dental,"4956 West Irving Park, Suite 100","Chicago, IL 60641"
Optima Family Dental - Lincolnwood,(847) 677-7071,,Optima Family Dental,6433 North Cicero Ave.,"Lincolnwood, IL 60712"
Oswego Dental,630-801-1999,,Oswego Dental,12484 Route 30,"Oswego, IL 60543"
"Pajak, Dr. Elizabeth",847-458-4576,,Dr. Elizabeth Pajak,120 Eastgate Court,"Algonquin, IL 60102"
"PAPAZIAN, DR. KRIKER - ORLAND SQUARE",708-301-1100,708-966-2069,Universal - Orland Square,10 Orland Square Drive,"Orland Park, IL 60462"
Park Dental Care,847-362-4740,847-362-4764,Park Dental Care,"1105 West Park Ave, Suite 8","Libertyville, IL 60048"
"Patel, Dr",847-855-1000,,Comfort Dental,5250 Grand Ave Suite 10,"Gurnee, IL 60031"
"Patricoski, Dr. Michael T.",708-597-4155,,Dr. Michael T. Patricoski,"6400 West College Drive, Suite 400","Palos Heights, IL 60463"
"Peterson, Dr.",847-244-7779,,Douglas Dental Center,2605 Grand Avenue,"Waukegan, IL 60085"
"Phi, Dr. Jennifer",773-275-1280,773-275-1267,Dr. Jennifer Phi,4945 North Broadway Ave.,"Chicago, IL 60640"
"Pithva, Dr. Amit",630-480-0441,,Dr. Amit Pithva,1660 Glen Ellyn Road,"Glendale Heights, IL 60139"
"Potempa, Dr. Gary",847-680-1030,,Dr. Gary Potempa,"1216 American Way, Suite 101","Libertyville, IL 60048"
Precision Dental Care,773-622-2642,773-622-5268,Precision Dental Care,5745 W. Belmont,"Chicago, IL 60634"
Preferred Removable Service,630-301-7326,,Preferred Removable Service,1026 Prairie Street,"Aurora, IL 60506"
"Progress Porcelain Dental Laboratory, Inc",847-329-1630,847-329-1640,"Progress Porcelain Dental Laboratory, Inc",5135 West Dempster Street,"Skokie, IL 60077"
"Ramaha, Dr. Ahmed - LITTLE VILLAGE",(872) 444-8932,,Universal - LITTLE VILLAGE,3915 W 26th Street,"Chicago, IL 60623"
"Ramaha, Dr. Ahmed - STONE PARK",708-338-4444,,Universal - Stone Park,1550 North Mannheim Road,"Stone Park, IL 60165"
"Ramsey, Dr. Ata - ORLAND SQUARE",708-301-1100,708-966-2069,Universal - Orland Square,10 Orland Square Drive,"Orland Park, IL 60462"
"Ramsey, Dr. Ata - South Holland",708-566-5188,,Universal - South Holland,304 East 162nd Street,"South Holland, IL 60473"
Ravinia Dental,(847)432-7400,,Ravinia Dental,580 Roger Willaims Ave,"Highland Park, IL 60035"
"Reddy, Dr.",847-244-7779,,Douglas Dental Center,2605 Grand Avenue,"Waukegan, IL 60085"
Right Choice Dental Care,630-425-8000,630-425-8800,Right Choice Dental Care,"2048 Aurora Ave, Unit 108","Naperville, IL 60540"
Rollins Dental Center,224-757-5939,,Rollins Dental Center,916 East Rollins Rd.,"Round Lake Beach, IL 60073"
"Romero, Alicia",,,Valley Dental,1940 West Galena Blvd.,"Aurora, IL 60506"
Roseroot Dental,847-699-3370,,Roseroot Dental,"1455 East Golf Road, Suite 216","Des Plaines, IL 60016"
"Rosiecki, Dr. Richard",219-962-2148,,Dr. Richard Rosiecki,3101 Central Ave.,"Lake Station, IN 46405"
"Sarumdupi, Dr",847-249-7706,,Douglas Dental Center,2605 Grand Avenue,"Waukegan, IL 60085"
"Sayali, Dr.",847-265-6444,,Dr. Sayali,2246 East Grand Ave,"Lindenhurst, IL 60046"
"Schneider, Dr. Ausrine",(630) 323-2245,,Dr. Ausrine Schneider,10S640 Kingery Hwy,"Willowbrook, IL 60527"
"Schwartz, Dr. Michael",847-253-2900,,Dr. Michael Schwartz,1401 West Dundee,"Buffalo Grove, IL 60089"
Sequoia Dental Studio,630-570-5360,,Sequoia Dental Studio,"414 Plaza Drive, Suite 208","Westmont, IL 60559"
"Shaikhli, Dr. Ahmed - Clark St.",773-338-8470,773-998-8471,Brite Dental - Clark St,6720 North Clark Street,"Chicago, IL 60626"
"Shay, Dr. Richard",630-924-7990,,Dr. Richard Shay,668 East Irving Park Road,"Roselle, IL 60172"
"Sheth, Dr. Shamkant",(773) 776-1113,,Dr. Shamkant Sheth,6230 S Ashland Ave,"Chicago, IL 60636"
Shorewood Dental Lab,,,Shorewood Dental Lab,"1790 Nations Drive, Suite 203","Gurnee, IL 60031"
SIRJAT - ARMITAGE,773-235-9020,,Brite Dental - Armitage,4343 West Armitage,"Chicago, IL 60639"
"Sirota, Dr. Nathan",708-671-1050,,Dr. Nathan Sirota,"7350 West College Dr, Suite 206","Palos Heights, IL 60463"
"Skoog, Dr. George",847-359-8732,,Dr. George Skoog,232 East Northwest Highway,"Palatine, IL 60067"
Smile Creations Dental,847-891-6600,847-891-6200,Smile Creations Dental,"1100 East Nerge Road, Suite 209","Elk Grove Village, IL 60007"
Smile Studio 87,630-427-2019,630-427-2018,Smile Studio 87,2019 87th Street,"Woodridge, IL 60517"
Smiles of Naperville,630-718-1901,630-718-1904,Smiles of Naperville,3020 Reflection Drive Ste. 112,"Naperville, IL 60564"
Smith & Smith Smile Studio,773-493-1663,773-493-1555,Smith & Smith Smile Studio,1457 East Hyde Park Blvd.,"Chicago, IL 60615"
So Well Dental Associates,312-588-7242,,So Well Dental Associates,"1122 North Clark Street, Suite 1","Chicago, IL 60610"
"Somoporeddy, Dr.",847-244-7779,,Douglas Dental Center,2605 Grand Avenue,"Waukegan, IL 60085"
"Soni, Anshuman",847-984-2548,847-984-2957,Dr. Anshuman Soni,"1418 S. Milwaukee Avenue, Suite 4","Libertyville, IL 60048"
"Soni, Dr.",,,"Soni, Dr.",233 Woodcreek Road #213,"Wheeling, IL 60090"
"Speakman, Marta Dr.",847-816-3440,,Dr. Marta Speakman,1105 West Park Ave. Suite 3A,"Libertyville, IL 60048"
"Stinson, Dr. Danita",773-978-3384,,Dr. Danita Stinson,1600 East 93rd Street,"Chicago, IL 60617"
Summit Dental Care,847-289-9900,,Summit Dental Care,840 Summit Street Suite K,"Elgin, IL 60120"
"Swanson, Dr. Clifford",847-352-5410,,"Swanson, Dr. Clifford",2215 West Schaumburg Road,"Schaumburg, IL 60194"
"TALOWIECKA, DR MARGARET - ORLAND SQUARE",708-301-1100,,Universal - Orland Square,10 Orland Square Drive,"Orland Park, IL 60462"
"Thakkar, Dr. Himanshi",815-544-2626,,Dr. Himanshi Thakkar,121 South State Street,"Belvidere, IL 61008"
"Tolia, Dr.",847-608-7910,,"Tolia, Dr.",417 Dundee Ave.,"Elgin, IL 60120"
"Torres, Dr",,,Dr. Torres,"3354 West 26th St, 2nd Floor","Chicago, IL 60623"
Tower Station Dental,(630) 293-7777,,Tower Station Dental,956 N Neltnor Blvd #316,"West Chicago, IL 60185"
Tranquil Dental,630-499-5555,,Tranquil Dental,3450 Montgomery Road,"Aurora, IL 60565"
"Tulowiecka, Dr. Margaret - Burbank",708-424-5901,,Universal - Burbank,5501 West 79th Street,"Burbank, IL 60459"
"Tulowiecka, Dr. Margaret - Orland Park",708-301-1100,,Universal - Orland Park,8752 West 159th Street,"Orland Park, IL 60462"
Two Rivers Dental,630-759-9929,,Two Rivers Dental,1196 Boughton Road,"Bolingbrook, IL 60440"
Universal - Burbank (Abuzir),708-424-5901,,Universal Dental Clinics - Burbank,"5501 West 79th Street, Suite 201","Burbank, IL 60459"
Universal - Burbank (Brar),708-424-5901,,Universal Dental Clinics - Burbank,5501 West 79th Street,"Burbank, IL 60459"
Universal - Burbank (Fatima),708-424-5901,,Universal Dental Clinics - Burbank,"5501 West 79th Street, Suite 201","Burbank, IL 60459"
Universal - Burbank (Faucher),708-424-5901,,Universal Dental Clinics - Burbank,"5501 West 79th Street, Suite 201","Burbank, IL 60459"
Universal - Burbank (Ramaha),708-424-5901,708-394-3165,Universal Dental Clinics - Burbank,5501 West 79th Street,"Burbank, IL 60459"
Universal - Burbank (Sandusky),708-424-5901,,Universal Dental Clinics - Burbank,5501 W. 79th Street,"Burbank, IL 60459"
Universal - Elgin,847-457-1010,,Universal Dental Clinics - Elgin,"229 National Street, Suite A","Elgin, IL 60123"
Universal - Elgin (Azhari),847-457-1010,708-394-3165,Universal Dental Clinics - Elgin,"373 Summit Street, Suite 108","Elgin, IL 60123"
Universal - Elgin (Ramaha),847-457-1010,708-394-3165,Universal Dental Clinics - Elgin,"373 Summit Street, Suite 108","Elgin, IL 60123"
Universal - Hyde Park (Brar),773-966-6465,,Universal Dental Clinics,1634 East 53rd Street,"Chicago, IL 60615"
